week_number,startup,amount_raised,sector,description,investors
6,Ambler ,1.5 M€,"Health, Beauty",Ambler is an intermediation platform connecting health care prescribers to ambulance companies.,"['Partech', 'Idinvest Partners', 'Kima Ventures', 'business angels']"
6,Agriloops ,1.4 M€,"Food, Agri-business",Agriloops operates saltwater aquaponic farms for growing shrimps and vegetables. ,"['OGHI', 'BNP Paribas Développement', 'business angles']"
6,Timetonic ,760 000€,Enterprise software,Timetonic is a B2B collaboration solution. ,"['Odesey LP', 'business angels']"
6,Béton Direct ,650 000€,"Real Estate, Construction",Béton Direct is an e-commerce solution for concrete and mortars. ,['ehr']
6,Gulplug ,440 000€,Green and sustainable development,Gulplug develops technologies dedicated to energy efficiency and industry 4.0. ,['business angels']
6,Copeeks ,220 000€,"Food, Agri-business",Copeeks develops solutions to optimize farm management. ,['business angels']
6,NV Gallery ,NC,Indoor and outdoor decoration,NV Gallery is a digital native vertical brand (DNVB) offering interior furnitures and accessories. ,['xperienced Capital Partners']
7,Malt ,25 M€,"HR, Education, Training, Jobbing",Malt publishes a platform dedicated to freelancers.,"['Idinvest', 'ISAI', 'Serena']"
7,Virtuo ,20 M€,Transport,Virtuo offers a dematerialized car reservation service. ,"['Iris Capital', 'Raise', 'Balderton Capital']"
7,Yes We Hack ,4 M€,Security & Cybersecurity,Yes We Hack links organizations or companies in need of IS security with hackers. ,"['CNP Assurances', 'Normandie Participations']"
7,Plug In Digital ,2 M€,Video Games,"Plug In Digital publishes and distributes PC, console and mobile video games.",['nter Invest Capital']
7,Dark Kitchen ,1 M€,"Food, Agri-business",Dark Kitchen is a delivery-only food brand. ,['ery']
7,MyDataModels ,1 M€,"HR, Education, Training, Jobbing",MyDataModels develops and markets TADA - an Automated Machine Learning software that builds and runs predictive models.,['arlybird Venture Capital']
7,EureCab ,700 000€,Transport,EureCab publishes a fare comparison platform between taxis and other private drivers.,['business angels']
7,Call A Lawyer ,500 000€,"Administrative, Legal, Accountancy",Call A Lawyer publishes a mobile application for instant contact with lawyers. ,['business angels']
7,Energic ,500 000€,Green & sustainable development,Energic offers a digital tool to raise employee awareness on corporate environmental performance.,['business angels']
8,Alan ,40 M€,Finance,Alan is a digital health insurance platform. ,"['Index Ventures', 'DST Global']"
8,Colonies ,11 M€,"Real Estate, Construction",Colonies offers community housing solutions in large cities. ,"['Idinvest Partners', 'Global Founders Capital', 'Kima Ventures', 'Financière Saint James']"
8,Typology ,8.8 M€,"Health, Beauty",Typology is a cosmetic DNVB (Digital Native Vertical Brand). ,"['Alven Capital', 'Firstminute Capital', 'business angels']"
8,Sybel ,5 M€,"Media, Culture and Entertainment",Sybel offers a podcast platform. ,"['Mangrove', 'business angels']"
8,Thegreendata ,2 M€,"Food, Agri-business",Thegreendata publishes applications for the agricultural and agri-food sectors. ,"['Fireca', 'CapDécisifManagement', 'business angels']"
8,ITrust ,2 M€,Security & Cybersecurity,ITrust develops IT security technologies.,"['Le Ronsard', 'Sorepar', 'Nestadio Capital', 'Groupe Scopelec']"
8,LouerAgile ,1.5 M€,"Real Estate, Construction",LouerAgile is an online platform to find accommodation in Paris.,"['Newfund', 'Kima Ventures', 'The Family', 'business angels']"
8,Solylend ,1.4 M€,Green and sustainable development,Solylend is a crowdfunding platform for innovative projects with positive impact.,"['Technostart', 'Région Nouvelle Aquitaine', 'Bpifrance']"
8,Japhy ,1 M€,Animals,Japhy is a tailor-made dog food brand sold on the Internet by subscription.,"['Aglaé Ventures', 'business angels']"
8,Sparted ,NC,"HR, Education, Training, Jobbing",Sparted offers companies a game platform for micro learning on mobile devices.,['ia Partners']
8,TrainMe ,NC,Sports,TrainMe is a platform that connects sport coaches and individuals.,['business angels']
9,Mirakl ,62 M€,Enterprise software,Mirakl provides an online marketplace platform and dropship solutions.,"['Bain Capital', '83North', 'Elaia Partners']"
9,Botify ,17.5 M€,Marketing & Communication,"Botify is a suite of applications to merge technical SEO, content, and real rankings for Enterprise Websites.","['Idinvest Partners', 'Ventech']"
9,Odaseva ,10 M€,Enterprise software,Odaseva develops cloud-based software solutions for Salesforce customers. ,"['Partech', 'Salesforce Ventures', 'Serena']"
9,Primo1D ,6 M€,Enterprise software,Primo1D provides a traceability solution through a yarn containing electronics.,"['Michelin Ventures', 'BNP Paribas Développement', 'Sofimac IM', 'Kreaxi', 'Espansinvest', 'C2AD', 'Auvergne-Rhônes-Alpes Angels']"
9,Yeeld ,1.1 M€,Finance,Yeeld provides mobile saving accounts.,['business angels']
9,Kobus ,1 M€,"Health, Beauty",Kobus develops a tool to monitor physiotherapy pathway care.,['ide Capital']
9,Salvum ,1 M€,Enterprise software,Salvum publishes an in-company training software to teach first aid procedures.,"['Banque des Territoires', 'Groupe Renault', 'Idinvest Partners', 'Swen Capital Partners']"
9,Yuka ,800 000€,"Food, Agri-business",Yuka is an application that scans and analyzes your diet.,"['Investir&+', 'Founders Future', 'Kima Ventures', 'business angels']"
9,MrSuricate ,500 000€,Security & Cybersecuurity,MrSuricate is a platform that tests vulnerabilities of a site of application and thus detect cybersecurity problems.,"['Pays de la Loire Développement', 'Pays de la Loire Participations', 'BNP Paribas']"
10,Shift Technology ,53 M€,Enterprise software,Shift Technology publishes insurance fraud detection software.,"['Bessemer Venture Partners', 'Accel Partners', 'General Catalyst', 'Iris Capital']"
10,GamersOrigin ,3 M€,Video Games,GamersOrigin is an e-sport team.,"['Entrepreneur Venture', 'Pinou Capital']"
10,Homeland ,2 M€,"Real Estate, Construction",Homeland is a digitized condo management platform.,"['Newfund', 'business angels']"
10,Hire ,400 000€,"HR, Education, Training, Jobbing",Hire publishes a matching platform dedicated to recruitment.,['NC']
10,Quortex ,NC,"Media, Culture and Entertainment",Quortex provides a cloud-based video delivery solution.,['business angels']
11,Trusk ,7 M€,Transport,Trusk develops a delivery service in urban areas.,"['Via ID', 'Daphni']"
11,Implicity ,4 M€,"Health, Beauty",Implicity developed a remote monitoring platform for patients with connected pacemakers and defibrillators.,"['Serena Capital', 'XAnge', 'Cap Décisif Management']"
11,Muzeek ,1.5 M€,"Media, Culture and Entertainment",Muzeek has created an audio creation solution dedicated to video producers.,"['OneRagtime', 'Bpifrance']"
11,Eloa ,1.3 M€,Finance,Eloa publishes a collaborative platform for credit and insurance distribution.,['business angels']
11,Inlead ,1.2 M€,Marketing & Communication,Inlead is a platform for geolocated digital campaigns.,"['Inwest Group', 'West Web Valley']"
11,Cocoonr ,1.1 M€,"Real Estate, Construction",Cocconr develops a short-term rental booking platform.,"['Bpifrance', 'Crédit Mutuel de Bretagne', 'Crédit Agricole', 'business angels']"
11,Misakey ,1 M€,Enterprise Software,Misakey offers a personal data management platform.,"['XAnge', 'CapDécisif']"
11,Siga ,1 M€,"Food, Agri-business",Siga developed a food quality index.,"['Newfund', 'Bpifrance']"
11,Tekyn ,1 M€,"Fashion, Luxury",Tekyn offers a solution for on-demand clothing production.,"['Bpifrance', 'Région Île de France', 'business angels']"
11,SmartHab ,1 M€,"Real Estate, Construction",SmartHab operates a solution to integrate connected objects in buildings.,['iffage Immobilier']
11,Welmo ,400 000€,"Real Estate, Construction",Welmo is an online real estate agency with fixed fees.,['business angels']
11,Legalstart ,15 M€,"Administrative, Legal, Accountancy",Legalstart is a legal document generation platform.,['SAI']
11,Ividata ,NC,IT Consulting,Ividata is a consulting agency specialized in digital and Big Data.,"['Keensight', 'ISAI Expansion']"
12,Doctolib ,150 M€,"Health, Beauty",Doctolib is a booking platform that helps to find a doctor nearby and make an appointment.,"['General Atlantic', 'Bpifrance', 'Eurazeo', 'Kernel', 'Accel', 'Kerala', 'business angels']"
12,Dental Monitoring ,45 M€,"Health, Beauty",Dental Monitoring is a dental treatment monitoring app.,['itruvian Partners']
12,Hesus ,10 M€,"Real Estate, Construction","Hesus is a solution for soils, material and construction wastes management.","['Paris Fonds Verts', 'Suez Ventures']"
12,Oslo ,10 M€,Marketing & Communication,Oslo develops purchasing process optimization solutions for retailers and distribution companies.,['ime for Growth']
12,Synapse Medicine ,2.5 M€,"Health, Beauty",Synapse Medicine provides AI solutions for healthcare and drug prescriptions.,"['XAnge', 'BNP Paribas Développement', 'Kima Ventures', 'Bpifrance', 'Région Nouvelle-Aquitaine']"
12,Hellocare ,2 M€,"Health, Beauty",Hellocare provides telemedicine solutions for health advices & medical virtual assistant.,['oche Partners']
12,Gamestream ,1.6 M€,Video Games,Gamestream provides video game streaming services.,"['2CRSI', 'business angels']"
12,SpaceFill ,1 M€,"Logistic, Retail",SpaceFill is a B2B on-demand warehousing marketplace.,"['La Famiglia', 'The Family', 'business angels']"
12,Coworkees ,1 M€,"HR, Education, Training, Jobbing",Coworkees connects freelancers and companies.,"['Baya Consulting', 'Crédit Agricole Alpes Développement,\xa0Intérim et Recrutement']"
12,Iteca ,1 M€,Enterprise software,Iteca publishes industrial intelligence solutions.,"['Le Flohic Investissements', 'Région Nouvelle-Aquitaine', 'Bpifrance', 'Crédit Mutuel', 'business angels']"
12,Dr Milou ,342 000€,Animals,Dr Milou offers a platform for connecting veterinarians and pet owners.,['business angels']
13,Kyriba ,160 M€,Finance,Kyriba offers SaaS-based treasury solutions.,"['Bridgepoint', 'Iris Capital', 'Daher Capital']"
13,WGF ,2 M€,Video Games,WGF (World Gaming Federation) is specialized in video game competitions organization.,"['Normandie Participations', 'Normandie Capital Invest', 'Bpifrance', 'business angels']"
13,MyMerrys ,1.5 M€,Enterprise software,MyMerrys offers a loyalty solution for e-shoppers.,['business angels\xa0']
13,Cosmian ,1.4 M€,Enterprise software,Cosmian publishes a data encryption platform.,"['Elaia', 'Acequia Capital', 'Financière de Blacailloux', 'business angels\xa0']"
13,Oceasoft ,1 M€,Enterprise software,Oceasoft designs wireless monitoring solutions (for temperature or other).,['atel Capital']
13,Quidol ,1 M€,Video Games,Quidol designs mobile gaming applications.,"['RedPill', 'business angels']"
13,De Rigueur ,500 000€,"Fashion, Luxury",De Rigueur designs connected portfolios.,"['NellyRodi', 'Moneybox']"
13,Dazzl ,450 000€,"Media, Culture and Entertainment","Dazzl is a video news network for content creators, media companies, and brands.","['IT-Translation Investissement', 'Crédit Agricole', 'Logoden Participations']"
14,ManoMano ,110 M€,"Real Estate, Construction",ManoMano is an online DIY and garden ecommerce platform.,"['Eurazeo Growth', 'Aglaé Ventures', 'Bpifrance', 'CM-CIC', 'Partech', 'Piton', 'General Atlantic']"
14,HR Path ,100 M€,"HR, Education, Training, Jobbing",HR Path provides human capital management technology.,"['Andera Partners', 'BNP Paribas', 'Société Générale', 'Crédit Agricole', 'Banque Palatine']"
14,Agorize ,13 M€,IT Consulting,Agorize develops an open innovation platform for large companies.,"['Creadev', 'Sofiouest', 'Iris Capital', 'Capnamic Ventures']"
14,Sqreen ,12.5 M€,Security & Cybersecurity,Sqreen is a monitoring and protection platform.,"['Greylock Partners', 'Y Combinator', 'Alven', 'Point Nine']"
14,Simplon.co ,12 M€,"HR, Education, Training, Jobbing",Simplon.co offers a free program of 6-months training in web development & entrepreneurship.,"['Caisse des Dépôts', 'Amundi', 'Aviva Impact Investing', 'Esfin Gestion', 'France Active Investissement', 'Inco', 'Mirova', 'Phitrust Partenaires Europe']"
14,SESAMm ,4.4 M€,Finance,SESAMm is specialized in big data and artificial intelligence for asset management.,"['Havenrock', ""Caisse d'Epargne"", 'Angelsquare', 'A-venture']"
14,Zaion ,3 M€,Enterprise software,Zaion publishes a platform of conversational robots dedicated to customer relationship management.,"['La France Mutualiste', 'business angels']"
14,Cycloid ,3 M€,Enterprise software,Cycloid is a DevOps platform that accelerates the transition of companies to the DevOps approach and cloud adoption.,['range Digital Venture']
15,LumApps ,21 M€,Enterprise software,LumApps is a social and corporate intranet integrated in Google G Suite and Microsoft Office 365.,['dinvest']
15,Qare ,20 M€,"Health, Beauty",Qare publishes a medical teleconsultation platform.,['amet Ventures']
15,Devialet ,16 M€,"Media, Culture and Entertainment",Devialet is a manufacturer of high-end loudspeakers and amplifiers.,"['Korelya Capital', 'Ginko Ventures']"
15,ReachFive ,8.9 M€,Marketing & Communication,ReachFive develops customer identity and access management solutions.,"['CapHorn Invest', 'Dawn Capital', 'Ventech']"
15,Wilov ,3.2 M€,Finance,"Wilov offers a ""Pay when you drive"" car insurance.","['Arkéa', 'Allianz France']"
15,Renovation Man ,3 M€,"Real Estate, Construction",Renovation Man is a digital platform that helps individuals in their renovation work.,['business angels']
15,Myre ,2 M€,"Real Estate, Construction","Myre develops a platform that centralizes, processes and analyses data on real estate assets.","['Naxicap', 'Keys AM', 'business angels']"
15,Nestwave ,2 M€,Enterprise software,Nestwave has developed a low-power geolocation solution.,"['Sofimac Innovation', 'The Faktory']"
15,Ipaidthat ,1.5 M€,Finance,"Ipaidthat has developed a SaaS to collect invoices in real time, manage expense reports and synchronize bank accounts.","['Truffle Capital', 'Bpifrance', 'business angels']"
15,Carvivo ,1.5 M€,Enterprise software,Carvivo has created a lead management tool.,"['Nord Capital Partenaires', 'Turenne Capital']"
15,GwenneG ,1 M€,Finance,"GwenneG is a crowdfunding platform that supports projects, companies and associations.","['La Banque des Territoires', 'business angels']"
15,Teazit ,600 000€,Marketing & Communication,"Teazit created an application to inform users of the traffic of a place (restaurant, bar, nightclub, etc.).",['business angels']
15,Kannelle.io ,600 000€,Marketing & Communication,Kannelle.io develops an application for corporate video creation.,"['Bpifrance', 'business angels']"
15,MesSortiesCE ,410 000€,Enterprise software,"MesSortiesCE is a platform for linking works councils, local authorities and associations with leisure professionals.","['Yeast', 'Région Grand-Est', 'Bpifrance', 'SODIV']"
15,Lab2U ,160 000€,"Health, Beauty",Lab2U is a mobile application for blood sampling at home.,['NC']
16,360Learning ,38 M€,"HR, Education, Training, Jobbing ",360Learning is a Learning Engagement Platform for corporate learning.,"['pifrance', 'Hi Inov', 'XAnge', 'Educapital', 'ISAI']"
16,Bankin ,20 M€,Finance,Bankin is a mobile banking app that enables users to get an overview on all their accounts.,['NC']
16,Alsid ,13 M€,Security & Cybersecurity,Alsid builds innovative solutions to help companies secure their directory infrastructures.,"['Idinvest', '360 Capital Partners', 'Axeleo Capital']"
16,Simundia ,2 M€,"HR, Education, Training, Jobbing",Simundia allows companies to offer their employees an online coaching program.,"['Kima Ventures', 'FJ Labs', 'business angels']"
16,Bloomin ,1.2 M€,"HR, Education, Training, Jobbing",Bloomin develops a platform to probe employees' feelings.,['NC']
16,Octopulse ,605 000€,Marketing & Communication,Octopulse offers a SaaS platform for online SEO/SEA optimization.,['business angels']
16,WaryMe ,600 000€,Security & Cybersecurity,"WaryMe designs and develops a mobile application to improve users safety in public places, schools, transports and companies.",['business angels']
16,EasyHotline ,70 000€,Enterprise software,EasyHotline is a virtual switchboard on mobile phones for small businesses.,['business angels']
16,Manganelli ,NC,Marketing & Communication,Manganelli provides digital audio-video integration solutions.,"['GEI', 'Nord Croissance']"
16,WeMaintain ,7 M€,"Real Estate, Construction",WeMaintain connects independent technicians specialized in elevator maintenance and building managers.,"['Idinvest', 'Raise Ventures', 'Spice Capital', 'business angels']"
16,Otonomy Aviation ,2.4 M€,Transport,Otonomy Aviation offers connected camera solutions for the aeronautical industry.,"['Ouest Croissance', 'Expanso Capital', 'Sofimac IM']"
16,SafeThing ,1.7 M€,Security & Cybersecurity,"SafeThing uses the blockchain to give objects an ""ID card"" to guarantee their traceability and also to avoid losing them.",['C2']
16,GoodsID ,1 M€,Security & Cybersecurity,GoodsID has created a certification solution for product authentication certification in the blockchain for Luxury brands.,"['Bpifrance', 'business angels']"
16,Permettez-moi de construire ,1 M€,"Real Estate, Construction",Permettez-moi de construire offers an online service to facilitate obtaining a building permit.,['C']
16,Finkey ,800 000€,Finance,Finkey develops a financial recommendation solution.,"['B612 Participations', 'Crédit Agricole Alpes Développement', 'Bpifrance', 'business angels']"
16,Wistiki ,600 000€,Security & Cybersecurity,"Wistiki designs and distributes Bluetooth trackers dedicated to keys, wallets and pets.",['business angels']
16,Gofer ,600 000€,"HR, Education, Training, Jobbing",Gofer connects self-employed workers with hotel and catering establishments.,['business angels']
16,Diakse ,360 000€,Enterprise software,Diakse develops 3D virtual shops.,['PS4E (Groupe La Poste)']
17,Fretlink ,25 M€,Transport,Fretlink develops a platform connecting industrial shippers to a network of carriers.,"['Edenred Capital Partners', 'TIP Trailer Services', 'Weaving Invest', 'FJ Labs', 'Daphni', 'Elaia Partners', 'Breega Capital', 'Tekton Ventures']"
17,Keen Eye ,6 M€,"Health, Beauty",Keen Eye designs machine learning solutions for research and the biomedical sector.,"['CM-CIC Innovation', 'Seventure Partners']"
17,Merito ,1 M€,"HR, Education, Training, Jobbing",Merito publishes a recruitment platform dedicated to retailers.,"['Club Holnest', 'UL Invest', 'ZTP']"
17,Pitchboy ,600 000€,"HR, Education, Training, Jobbing",Pitchboy offers virtual reality training solutions.,['business angels']
17,Tactical Adventures ,NC,Videogames,Tactical Adventures is an independent video game studio.,['pifrance']
20,Ivalua ,54 M€,Enterprise software,Ivalua provides web-based spend management solutions.,"['Tiger Global Management', 'Ardian Growth']"
20,Azur Drones ,9 M€,Security & Cybersecurity,Azur Drones offers solutions for taking pictures via autonomous drones to secure industrial sites.,['NC']
20,Dawex ,5 M€,Enterprise software,Dawex operates a data exchange marketplace.,"['Amadeus', 'Itochu Corporation', 'Bouygues Construction', 'Banque des Territoires']"
20,Kard ,3 M€,Finance,Kard offers a payment card and banking services for 12-25 year olds.,"['Kima Ventures', 'business angels']"
20,Pony ,2.2 M€,Transport,"Pony is a free-floating solution for sharing electric bicycles and scooters, allowing the user to acquire his vehicle.","['Demeter', 'Kima Ventures']"
20,FoxNot ,2 M€,"Administrative, Legal, Accountancy",FoxNot digitizes and simplifies procedures involving notaries.,['La Caisse des Dépôts']
20,Digitim ,1.5 M€,Telecommunication,Digitim provides managed services for mobile fleet management for local authorities and companies.,['eneris Capital']
20,RollingFunds ,1.35 M€,Finance,RollingFunds develops a solution to provide loans to SMEs in real time.,['ruffle Capital']
20,Ecojoko ,1.1 M€,Energy,Ecojoko offers individuals an energy saving solution.,['business angels']
20,Unkle ,1 M€,"Real Estate, Construction",Unkle develops a scoring system to guarantee the reliability of a tenant.,['business angels']
20,Monsieur Peinture ,1 M€,Indoor and outdoor decoration,Monsieur Peinture proposes a platform for connecting painters and individuals.,['romology']
20,Where You Love ,1 M€,"Real Estate, Construction",Where You Love offers a personalized real estate suggestion solution.,['NC']
20,Jam ,1 M€,Marketing & Communication,Jam offers chatbots solutions.,"['Isai', 'Maif Avenir', 'business angels']"
20,Data Legal Drive ,1 M€,"Administrative, Legal, Accountancy",Data Legal Drive publishes software to be RGPD compliant.,['efebvre Sarrut']
20,Siimple ,500 000€,"Logistic, Retail","Siimple develops a platform that offers e-merchants shipping solutions for their ""non-standard"" needs.",['hosphore']
20,Anamnèse ,500 000€,"Health, Beauty",Anamnèse offers a virtual assistant solution for healthcare professionals.,['business angels']
20,Charles ,400 000€,"Health, Beauty",Charles publishes a telemedicine platform dedicated to erectile dysfunction.,['business angels']
20,BoatOn ,150 000€,"Loisirs, Tourisme",BoatOn is a digital maintenance booklet for boats.,"['La Région Nouvelle-Aquitaine', 'Bpifrance', 'business angels']"
20,Wever ,NC,Transport,Wever offers a platform to manage mobility and conduct behaviour change.,['ransdev']
